,text
0,obviously unjustly treated possibility elucidating this
1,car overtaking another forced drive road
2,one unjustly accused something one done
3,partner attacked lost three teeth
4,unjust accusations directed way acting someone close me
5,heard radio football match belgium ended catastrophe several people died could understand normal people could behave way
6,summer job nobody looked particular learn own
7,locked out
8,work elderly man complained unjustifiably distrusted me
9,mad dad
10,someone stole bike
11,friends try put hurt me
12,boyfriend went away month long holiday without me
13,restaurant observed gypsies tried get money cheating foreigners ie non swedish speaking anger nothing hatred foreigners expression anger feel see people used 
14,got caught pouring rain last thursday raincoat me
15,colleague asked help work despite fact time had
16,editor changed heading article written considered heading derogatory towards person written about
17,tv saw news feature south africa policeman attacked group black people whip
18,starting student project teacher talked negative helpful
19,treated unfairly
20,accused done something got angry
21,went lecture cancelled second time one negative attitude towards lecturer
22,holiday cottage association two pals came wake early one morning bringing radio played highest volume room  morning service loudest
23,disco evening pleasant despite knowing why angry companion let feel bad humour cannot hide feelings
24, sometimes quarrel mother blames me though way connected events
25,two boys know telling me indecent manner teased young shy girl know despised conviction scorned touched her got angry try conceal gave back them
26,tennis match interrupted kid cycled right court
27,heavy work load two colleagues nothing against disturbed terror ringing ie continously interrupting telephoning
28,deputy manager summer certain deputies took liberties normal
29,reached bus stop realized forgotten bus pass
30,someone something wrong affects negatively
31,saw report tv news apartheid south africa
32,time someone let air tyres cycle
33,missed tram run it
34,accused something done get unbelievably angry
35,someone drove car denied happened
36,quarrel family
37,car towed away traffic police wrongly parked however sign put already parked
38,colleague asked advice enough confidence asked third person
39,close relatives tried dissuade studying psychology low status
40,employer took many aspirins bad back also drank enormous amount spirit dangerous understand done anything wrong
41,sports fishermen catch gulls instead fish hooks often mistake makes angry
42,found guy dating particular time steady relationship going someone else long time
43,when week school teacher sent note home saying son inattentive unable lessons
44,pointed problem child primary school mother took teachers point view
45,parents drove nearby place went home immediately instead waiting hours could easily waited
46,high school guys sometimes provoked friend mine called pig grunted irritated girls once one girls got angry friend said something nasty made terribly angry
47,boyfriend sat half night playing computer games friend
48,mother interfered life
49,father asked communist time made clear longer see daughter
50,boss enrolled course satisfy ends  trample associates misfortune one superiors course
51,friend usual forgot tickets home performance missed it
52,tried explain plumber face face toilet broken believe it mended ten times
53,read reagans tactical decision concerning south african boycott
54,noisy guests arrived hotel slightly irritated earlier night trying sleep party went yelled them wanted sleep get early next day
55,recently sister four years younger spoiled shouted mother apparent reason  heartbroken expression mothers face made feel angry
56,way home marstrand driving behind fathers car another car tried push front father forced swerve thus collided car pillar car drove without even seeing happened
57,course thought deserved good marks got ordinary marks justification given marks
58,became clear man used many people sexually psychologically despite fact many people looked him understood one could trust forced hide while
59,lot provocation child threw plate floor
60,forced call telephone company bill concerning disconnected phone belonging landlord bill four months overdue meanwhile using phone seemed intention phone reconnected
61, examine satisfied with
62,jealous husbands old girlfriend met husband lot reminiscing
63,exchange points view sister family matter
64,cash desk gone buy 16 rolls kitchen paper reduced price queuing screaming children turned taken two 8 roll packets instead one 16 roll packet rebate applied assistant said you get another time
65,unjust refree decision sports event team leader
66,drummer borrowed drums destroyed drumskin sticks repair tell it
67,told computer teacher want teach beacause prejudice
68,morning newspaper arrived
69,argue boyfriend feel though feels superior me
70,winter water pipes froze water two days
71,religion teacher presented shocking sectarian thoughts dooms day official teaching
72,student kitchen share somebody drank juice pot one litre got one glass whole pot
73,missed train wait next two hours reason missed appointment important me
74,watching tv friend first film wanted watch another film channel friend switched cannel without asking wanted
75,moved flat friend lived before left flat terrible mess angry sloppiness impudence
76,friend suggested roundabout way reason late something me im often late know partly true felt unjustified particular time felt anything anyway ie late
77,fight best friend
78,fathers treatment mother disregard her committed her
79,told boy friend park certain place car would ger towed away  listen towed away stage finances poverty line  cost us 1000  money get us week including rent
80,getting terrible exam mark understand reason for trying see lecturer tutor given runaround
81,close relative treated badly
82,fathers new fiancee treats like child trust constantly misunderstands me get particularly angry says nasty things boyfriend works
83,parents approve choice boyfriend now exboyfriend happened 13 years older considered completely unsuitable me idiot
84,sofa flat belonged old tenants acquaintances picked year ago postponed it eventually decided one date stayed home despite fact things do come call still got touch me
85,girl went another guy
86,father argument help enough home
87,quarrelled younger brother
88,lady live bothered clean went holiday i live collective
89,sight man ran amok fighting dance
90,job appointments committee headmaster charge explained male teacher suitable particular post years service male teacher taken consideration could given less attractive job things gone way headmaster wanted
91,someone show meeting spite agreed come
92,tried put tent years ago teased hindered cousin
93,drunken friend mine beating another friend also drunk
94,mother friends speaking badly father separated brothers sisters allowed listen
95,accused misdemeanour unjustly
96,meeting generally dominating persons social occasions
97,father phoned come home vacation since longer time look garden animals
98,car suddenly broke 
99,angry brother making fun me teasing me
100,subject unfair treatment working group someone bending rules protected boss resulted work others
101,one best friends accused giving early problems casual remark side angry hurt
102,subject false accusations got angry
103,felt unfairly treated airport told use different counter for domestic traffic only
104,students working group showed responsibility interest work
105,nephew deaf also hyperactive boy responsible looking full day tired suddenly grabbed knife stabbed leg got angry feel pain
106,close friend first said accepted agreement later used agreement reason attacking me
107,tried breake boyfriend refused let go
108,fight class mate
109,get angry people disbelieve misunderstand me
110,spokesman union got quarrel colleague acting disloyally sustained period time
111,others let down fail keep agreements
112,accused drunk bottle liquor refilling water
113,colliding car blame
114,mother treats 10year old boy
115,agreed share taxi expenses three people back car ran off leaving person front entire bill
116,realizing friend talked signing certain contract
117,receiving personal criticisms early morning
118,physical violence friend listen repeatedly tried warn him avail result eight people pissed off
119,traffic often get relatively angry drivers several transgressions make mad especially yielding priority traffic eg coming right
120,gone school without learning anything usual
121,slandered friends
122,angry team small boys lost county championship football final
123,father accused brother bumped car wrong
124,discussion mother concerning sisters divorce disagreed strongly
125,conflict pupil
126, treated unfairly regardless motives deeds
127,fiancee parents place watching tv two tvchairs sitting drunken brother came rudely chased fiancee chair sitting on
128,girl left me
129,army treated unfairly superiors held responsible deed innocent
130,stupid people push rush time city
131, unfair punishment
132,implicit agreement sister meeting her however understood situation way turn up
133,learned brother spoilt lp mine
134,quarelled relative mine politics
135,disappointed angry bad quality documentay program tv opinion topic important program made seriousness consideration
136,realized far behind others language course could longer catch others
137,angry friend mine behaved affected manner
138,find rack used beating rugs yard
139,appointment downtown person question half hour late
140,coming home taxi fellow worker mine criticizing earlier conduct towards him mind unfounded reached home ran taxi slammed door
141,person close mistook good intentions bad therefore associated unpleasant traits me
142,superior blamed neglects work front others fact task question supposed done me
143,relative mine come see husband talk problem concerning sister me angry relative mine dare speak instead spoke husband got know later day
144,school teacher one classes obey all keeps talking work one afternoon everything went wrong got exceedingly angry
145,mother carried using mental pressure concerning something serious real burden me
146,tv news heard nicaragua complained increasing threat war usa
147,checked examination paper realized careless thoughtless lazy hasty make unnecessary mistakes concerning things know understand
148,member religious sect tried convert me using really evil tricks persuade me left anxious angry long time event alone
149,father told careful try seek admission places also apart faculty social sciences university helsinki interested place time study entrance exams
150,roommates watching videotapes prevented watching news first feeling treated unfairly came feeling anger
151,friends promised would definitely call tell visiting not
152,friend mine drawn fight stupid gang belonged to felt angry friends could think anything sensible would fool around without taking consideration feelings persons
153,mother time trying separate good friend who thought good company me finally breakfast one day argument tried defend friend
154,lifepartner drinking more spoke kicking cat never done anything kind knew would one day without thinking it
155,friend mine ridiculed me telling would never accomplish anything felt interfered life
156,discussion mother realized moment doubt justification making decisions concerning life
157,outrageous conduct relative towards close meblaming us lying
158, example unfair pushing bus
159,home filling tax report nobody time help me would liked quickly could go meet friend mine returned hospital got angry brother father refused give calculator asked nicely could leave wait help tax report done
160,housing council asked city cut 40 linden trees inhabitants lower floors would view sea
161,boyfriend came home late one night without told before
162,heard stepmother treated mother wrong manner
163,tram ticket seller commanding taking role leader trying emphasize nonexistent authority undue strictness towards goodhumoured drunk could find ticket once
164,male honduran acquaintance mine despised opinions
165,summer workplace person kept interfering tasks making unfounded remarks felt hatred stopped realized longed attention
166,quarelled parents
167,higher status colleague mine despised attitude organization work
168,returned much less taxes expected
169,parents put pressure buy clothes would liked so
170,disagreements mother moved kankaanpss promised help move broke promise hindrance
